id	condition	cond2	tradhyp	controltrans	honesthyp	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
308	controltrans	3	0	1	0	50	56	37	40	45.75	58	52	37	53	50	40	50	41	49	45	39	53	49	48	47.25	50	14	36	50	37.5	47	39	2	4	5	5	1
309	tradhyp	1	1	0	0	43	28	8	60	34.75	59	56	16	77	52	47	12	4	66	32.25	37	28	11	59	33.75	100	100	100	59	89.75	38.1875	33	1	5	7	5	2
310	tradhyp	1	1	0	0	0	40	52	45	34.25	33	23	39	33	32	10	51	58	28	36.75	18	20	59	27	31	100	95	50	100	86.25	33.5	40	2	5	8	5	1
311	tradhyp	1	1	0	0	100	97	73	95	91.25	100	99	33	97	82.25	100	100	25	100	81.25	100	98	58	99	88.75	0	3	27	7	9.25	85.875	21	1	4	1	6	1
312	honesthyp	2	0	0	1	32	0	60	18	27.5	63	16	51	18	37	27	0	75	14	29	16	0	100	11	31.75	80	89	28	82	69.75	31.3125	44	1	6	10	5	1
313	honesthyp	2	0	0	1	50	5	10	50	28.75	50	11	9	77	36.75	51	7	12	77	36.75	21	6	9	56	23	64	10	8	59	35.25	31.3125	21	2	4	5	5	1
314	controltrans	3	0	1	0	47	48	50	50	48.75	45	46	50	50	47.75	50	47	41	48	46.5	36	50	46	48	45	98	97	97	72	91	47	21	1	4	3	4	1
315	tradhyp	1	1	0	0	71	50	0	50	42.75	57	72	19	91	59.75	50	75	9	50	46	26	50	11	50	34.25	35	0	95	0	32.5	45.6875	61	2	4	5	7	3
316	tradhyp	1	1	0	0	0	50	50	50	37.5	37	50	50	51	47	30	50	50	23	38.25	0	50	0	10	15	100	0	100	100	75	34.4375	37	2	2	7	7	1
317	tradhyp	1	1	0	0	16	34	31	42	30.75	14	40	22	27	25.75	19	33	36	16	26	13	29	18	23	20.75	91	87	84	84	86.5	25.8125	48	1	4	7	4	1
318	honesthyp	2	0	0	1	50	50	47	50	49.25	50	50	50	50	50	50	56	50	50	51.5	64	58	56	50	57	45	32	37	64	44.5	51.9375	52	2	4	6	4	1
319	honesthyp	2	0	0	1	35	54	43	78	52.5	30	82	56	82	62.5	28	71	32	87	54.5	28	86	39	73	56.5	88	24	35	12	39.75	56.5	55	2	5	6	4	1
320	controltrans	3	0	1	0	33	46	45	42	41.5	34	45	47	45	42.75	15	46	47	45	38.25	34	45	48	44	42.75	36	43	48	56	45.75	41.3125	46	2	6	5	4	1
321	tradhyp	1	1	0	0	19	36	29	19	25.75	27	37	24	44	33	0	22	36	8	16.5	5	28	39	10	20.5	100	75	91	9	68.75	23.9375	30	2	6	8	3	1
322	controltrans	3	0	1	0	25	34	40	50	37.25	28	45	37	47	39.25	12	22	22	47	25.75	15	31	23	41	27.5	87	62	73	80	75.5	32.4375	54	2	5	10	6	1
323	tradhyp	1	1	0	0	58	46	50	59	53.25	44	61	42	59	51.5	56	58	50	62	56.5	43	56	59	58	54	57	43	48	65	53.25	53.8125	26	1	2	5	4	1
324	controltrans	3	0	1	0	36	41	51	42	42.5	36	39	47	40	40.5	41	39	44	41	41.25	36	43	42	43	41	74	70	64	77	71.25	41.3125	27	2	2	5	4	1
325	tradhyp	1	1	0	0	0	68	41	12	30.25	52	51	55	47	51.25	26	56	53	38	43.25	16	36	37	25	28.5	98	87	100	98	95.75	38.3125	23	2	6	4	5	1
326	tradhyp	1	1	0	0	43	75	83	41	60.5	83	65	100	48	74	52	49	100	38	59.75	50	27	71	38	46.5	74	87	37	87	71.25	60.1875	26	1	5	5	4	2
327	honesthyp	2	0	0	1	62	54	55	61	58	60	54	57	61	58	58	54	57	66	58.75	55	53	70	70	62	34	37	57	52	45	59.1875	29	1	5	6	3	2
328	controltrans	3	0	1	0	44	47	48	5	36	55	49	46	45	48.75	48	52	48	49	49.25	46	48	48	51	48.25	40	0	0	48	22	45.5625	34	1	6	8	4	1
329	honesthyp	2	0	0	1	7	13	68	10	24.5	39	50	36	36	40.25	32	36	47	33	37	33	33	53	22	35.25	66	70	53	24	53.25	34.25	32	1	4	3	4	1
330	controltrans	3	0	1	0	19	40	34	27	30	28	56	53	58	48.75	32	54	27	42	38.75	12	23	25	36	24	85	33	72	72	65.5	35.375	44	2	5	4	5	3
331	honesthyp	2	0	0	1	66	73	70	61	67.5	65	72	67	66	67.5	65	69	61	68	65.75	66	68	64	62	65	65	22	63	61	52.75	66.4375	26	1	5	1	3	1
332	honesthyp	2	0	0	1	78	51	64	38	57.75	80	40	54	53	56.75	66	51	71	70	64.5	75	69	70	70	71	74	73	77	89	78.25	62.5	28	1	5	5	6	1
333	honesthyp	2	0	0	1	54	50	57	65	56.5	67	68	62	70	66.75	58	63	62	70	63.25	56	59	79	70	66	81	85	82	86	83.5	63.125	45	2	5	4	6	3
334	tradhyp	1	1	0	0	50	0	0	0	12.5	7	0	0	0	1.75	23	0	0	0	5.75	0	0	0	0	0	100	100	100	100	100	5	46	1	5	2	5	1
335	honesthyp	2	0	0	1	50	42	76	70	59.5	64	56	65	92	69.25	62	31	75	92	65	51	35	91	91	67	21	49	52	46	42	65.1875	27	2	5	4	6	3
336	tradhyp	1	1	0	0	33	27	27	47	33.5	12	24	37	40	28.25	26	34	16	46	30.5	5	20	11	24	15	100	93	100	93	96.5	26.8125	24	2	4	2	4	2
337	controltrans	3	0	1	0	50	50	37	25	40.5	50	47	41	51	47.25	50	48	48	36	45.5	45	41	49	48	45.75	38	50	50	50	47	44.75	19	1	4	1	5	2
338	honesthyp	2	0	0	1	50	50	50	50	50	50	42	42	38	43	21	21	22	9	18.25	32	42	19	33	31.5	74	73	79	79	76.25	35.6875	38	2	5	6	3	3
339	tradhyp	1	1	0	0	31	18	40	40	32.25	18	35	36	43	33	18	25	32	45	30	22	25	22	50	29.75	98	95	80	66	84.75	31.25	25	2	4	4	3	1
340	honesthyp	2	0	0	1	24	17	41	21	25.75	21	42	38	28	32.25	24	7	28	23	20.5	5	42	58	22	31.75	94	84	79	97	88.5	27.5625	3	2	4	8	2	1
341	tradhyp	1	1	0	0	100	100	100	100	100	0	0	13	0	3.25	0	0	11	0	2.75	0	0	11	0	2.75	100	100	92	99	97.75	27.1875	37	1	2	7	3	2
342	tradhyp	1	1	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	36	46.5	50	49	50	50	49.75	72	50	58	70	62.5	49.0625	35	2	5	2	6	2
343	controltrans	3	0	1	0	43	44	48	41	44	42	50	39	37	42	41	35	39	41	39	43	39	50	39	42.75	69	65	86	64	71	41.9375	26	2	2	5	4	2
344	honesthyp	2	0	0	1	47	45	37	35	41	45	43	46	45	44.75	44	37	43	47	42.75	41	38	42	45	41.5	65	23	100	25	53.25	42.5	51	2	5	8	3	1
345	honesthyp	2	0	0	1	31	100	36	69	59	58	81	69	84	73	53	83	72	74	70.5	33	88	73	73	66.75	87	12	79	79	64.25	67.3125	41	1	6	4	7	1
346	honesthyp	2	0	0	1	50	50	48	37	46.25	50	50	47	47	48.5	50	42	31	16	34.75	47	41	12	8	27	54	67	69	87	69.25	39.125	23	2	5	1	5	2
347	controltrans	3	0	1	0	99	98	100	100	99.25	99	99	99	98	98.75	100	99	99	100	99.5	100	99	100	100	99.75	99	99	100	0	74.5	99.3125	27	2	2	5	4	1
348	controltrans	3	0	1	0	53	56	27	51	46.75	31	58	28	79	49	12	68	16	62	39.5	8	72	17	80	44.25	53	66	51	19	47.25	44.875	43	2	4	7	7	1
349	honesthyp	2	0	0	1	50	48	54	53	51.25	49	52	57	51	52.25	39	42	48	52	45.25	41	35	54	52	45.5	71	92	54	94	77.75	48.5625	21	2	4	4	5	2
350	tradhyp	1	1	0	0	50	50	50	50	50	51	50	50	50	50.25	36	50	45	50	45.25	37	50	43	50	45	36	50	41	50	44.25	47.625	50	2	2	4	3	3
351	controltrans	3	0	1	0	43	58	42	20	40.75	42	49	50	41	45.5	45	52	48	48	48.25	38	38	43	54	43.25	11	22	29	18	20	44.4375	22	2	4	3	4	2
352	tradhyp	1	1	0	0	28	33	40	41	35.5	32	42	36	36	36.5	30	36	38	44	37	31	40	42	38	37.75	80	63	62	68	68.25	36.6875	42	2	4	4	3	1
353	honesthyp	2	0	0	1	25	32	6	36	24.75	26	30	18	34	27	30	26	24	41	30.25	26	28	24	38	29	92	73	82	69	79	27.75	58	2	2	9	5	1
354	tradhyp	1	1	0	0	40	42	36	27	36.25	33	32	31	39	33.75	22	34	23	27	26.5	22	21	20	26	22.25	23	25	20	20	22	29.6875	63	2	6	5	5	1
355	tradhyp	1	1	0	0	0	50	50	50	37.5	50	50	50	50	50	0	50	50	50	37.5	0	0	50	50	25	100	100	100	100	100	37.5	32	2	5	7	4	1
356	controltrans	3	0	1	0	58	46	22	50	44	58	47	43	54	50.5	57	35	34	57	45.75	58	19	33	54	41	33	74	80	41	57	45.3125	35	1	5	5	6	2
357	controltrans	3	0	1	0	67	41	56	26	47.5	68	48	68	39	55.75	33	31	30	56	37.5	41	34	73	61	52.25	20	67	61	76	56	48.25	18	2	4	2	5	4
358	controltrans	3	0	1	0	66	61	42	53	55.5	41	42	52	54	47.25	43	45	55	53	49	32	35	51	53	42.75	71	46	46	49	53	48.625	39	1	5	7	2	2
359	honesthyp	2	0	0	1	40	49	10	50	37.25	37	36	26	50	37.25	32	31	25	29	29.25	33	31	9	79	38	70	34	73	84	65.25	35.4375	42	2	6	7	5	1
360	honesthyp	2	0	0	1	64	67	23	36	47.5	57	62	29	54	50.5	59	65	50	54	57	40	65	35	55	48.75	21	16	28	24	22.25	50.9375	65	1	5	5	4	3
361	controltrans	3	0	1	0	6	36	35	28	26.25	32	39	45	44	40	34	47	47	37	41.25	19	37	47	38	35.25	85	53	52	65	63.75	35.6875	62	1	5	7	5	1
362	honesthyp	2	0	0	1	41	56	3	0	25	28	50	3	8	22.25	50	50	8	0	27	41	65	3	0	27.25	70	55	97	100	80.5	25.375	57	1	5	6	3	1
363	tradhyp	1	1	0	0	64	59	66	65	63.5	70	77	66	70	70.75	70	65	64	67	66.5	66	63	59	68	64	76	77	78	70	75.25	66.1875	33	2	4	8	5	2
364	honesthyp	2	0	0	1	39	63	64	75	60.25	39	41	46	68	48.5	34	42	41	62	44.75	35	44	36	54	42.25	69	65	61	67	65.5	48.9375	53	2	4	8	4	1
365	controltrans	3	0	1	0	58	60	26	71	53.75	58	71	32	73	58.5	32	50	23	73	44.5	38	45	19	76	44.5	40	35	55	23	38.25	50.3125	24	1	5	7	5	3
366	controltrans	3	0	1	0	50	0	50	50	37.5	78	0	16	80	43.5	71	0	8	57	34	38	0	39	51	32	69	100	51	78	74.5	36.75	34	2	4	9	4	5
367	controltrans	3	0	1	0	50	49	50	50	49.75	50	50	49	50	49.75	50	27	47	30	38.5	23	23	19	27	23	75	80	77	74	76.5	40.25	43	2	4	6	5	1
368	tradhyp	1	1	0	0	40	36	40	34	37.5	49	32	23	35	34.75	47	36	40	40	40.75	47	36	41	28	38	100	73	99	100	93	37.75	20	1	2	2	2	1
369	honesthyp	2	0	0	1	41	35	7	11	23.5	60	12	8	17	24.25	58	38	27	17	35	58	31	23	13	31.25	36	36	35	100	51.75	28.5	30	2	4	6	5	1
370	honesthyp	2	0	0	1	24	31	53	50	39.5	42	32	48	69	47.75	34	37	62	41	43.5	27	32	60	47	41.5	31	61	43	55	47.5	43.0625	58	2	4	4	4	1
371	honesthyp	2	0	0	1	38	40	39	42	39.75	44	51	40	44	44.75	36	43	35	36	37.5	6	36	9	10	15.25	95	92	98	94	94.75	34.3125	26	1	5	8	5	3
372	controltrans	3	0	1	0	48	50	53	50	50.25	53	46	56	50	51.25	40	47	53	50	47.5	34	44	53	54	46.25	69	47	55	63	58.5	48.8125	47	1	2	4	3	1
373	controltrans	3	0	1	0	55	53	44	43	48.75	57	49	44	48	49.5	59	50	49	48	51.5	58	44	50	48	50	41	48	56	48	48.25	49.9375	28	1	4	4	7	1
374	tradhyp	1	1	0	0	56	21	48	51	44	56	53	51	51	52.75	28	24	48	51	37.75	29	18	40	51	34.5	65	100	82	57	76	42.25	38	2	4	5	5	1
375	tradhyp	1	1	0	0	35	67	26	50	44.5	38	93	64	79	68.5	0	40	11	12	15.75	0	36	0	0	9	100	100	100	100	100	34.4375	32	2	4	4	6	1
376	tradhyp	1	1	0	0	19	21	44	37	30.25	18	12	9	31	17.5	6	9	8	25	12	6	22	28	35	22.75	97	99	97	99	98	20.625	41	1	4	4	4	1
377	controltrans	3	0	1	0	55	50	50	50	51.25	51	50	50	50	50.25	51	50	50	50	50.25	50	50	50	51	50.25	28	9	23	27	21.75	50.5	22	2	5	4	5	1
378	controltrans	3	0	1	0	88	43	38	61	57.5	88	65	41	53	61.75	75	57	45	67	61	76	59	43	64	60.5	32	37	38	39	36.5	60.1875	40	1	4	7	5	2
379	honesthyp	2	0	0	1	62	99	60	54	68.75	73	99	47	100	79.75	73	100	32	99	76	77	100	24	100	75.25	28	28	69	5	32.5	74.9375	31	2	5	10	5	1
380	honesthyp	2	0	0	1	74	75	61	58	67	50	74	51	62	59.25	75	82	66	65	72	74	57	63	62	64	21	64	60	64	52.25	65.5625	38	1	5	5	5	3
381	controltrans	3	0	1	0	49	48	46	50	48.25	38	45	38	50	42.75	37	43	36	50	41.5	42	36	37	50	41.25	57	70	71	72	67.5	43.4375	28	1	5	4	5	2
382	controltrans	3	0	1	0	30	41	22	50	35.75	40	52	33	50	43.75	35	51	37	51	43.5	32	51	34	50	41.75	68	60	75	48	62.75	41.1875	44	2	6	10	5	3
383	controltrans	3	0	1	0	29	35	37	46	36.75	41	30	24	48	35.75	29	28	41	53	37.75	19	26	34	53	33	68	44	53	64	57.25	35.8125	55	2	6	7	6	1
384	tradhyp	1	1	0	0	50	50	50	50	50	50	50	50	50	50	26	25	50	50	37.75	27	25	50	50	38	25	84	49	50	52	43.9375	33	2	5	7	7	3
385	honesthyp	2	0	0	1	65	50	50	50	53.75	50	79	49	85	65.75	51	50	29	70	50	27	7	28	90	38	95	91	92	87	91.25	51.875	36	2	4	3	7	3
386	tradhyp	1	1	0	0	41	48	39	35	40.75	46	58	58	36	49.5	56	47	53	44	50	37	60	46	63	51.5	75	64	75	66	70	47.9375	23	2	5	10	4	1
387	tradhyp	1	1	0	0	53	50	48	50	50.25	61	36	51	48	49	36	8	50	31	31.25	26	12	48	10	24	76	82	60	82	75	38.625	27	1	2	4	4	1
388	honesthyp	2	0	0	1	28	53	37	57	43.75	16	56	59	56	46.75	22	60	72	57	52.75	8	75	72	66	55.25	99	20	18	26	40.75	49.625	39	2	2	5	6	1
389	honesthyp	2	0	0	1	36	35	38	41	37.5	43	44	40	61	47	33	34	40	39	36.5	43	37	39	67	46.5	84	80	77	77	79.5	41.875	22	2	5	7	4	3
390	tradhyp	1	1	0	0	3	34	28	38	25.75	35	43	39	28	36.25	10	4	9	42	16.25	15	1	13	34	15.75	94	91	78	86	87.25	23.5	41	2	6	9	5	1
391	tradhyp	1	1	0	0	37	50	52	50	47.25	33	36	59	53	45.25	6	17	45	41	27.25	15	29	55	30	32.25	94	90	74	86	86	38	54	2	4	5	5	2
392	controltrans	3	0	1	0	32	34	48	32	36.5	26	40	50	35	37.75	27	46	32	50	38.75	23	18	12	50	25.75	22	23	29	39	28.25	34.6875	27	1	2	6	6	1
393	honesthyp	2	0	0	1	60	48	26	0	33.5	56	45	75	65	60.25	61	60	76	82	69.75	60	100	100	100	90	72	60	76	79	71.75	63.375	23	2	5	2	6	1
394	honesthyp	2	0	0	1	46	43	8	50	36.75	44	28	3	50	31.25	50	30	35	50	41.25	61	3	62	100	56.5	61	72	52	23	52	41.4375	33	1	6	9	3	1
395	honesthyp	2	0	0	1	58	67	44	65	58.5	56	79	61	73	67.25	63	83	41	66	63.25	81	37	38	83	59.75	25	28	91	34	44.5	62.1875	38	2	4	9	6	2
396	controltrans	3	0	1	0	50	50	43	31	43.5	50	47	58	53	52	29	48	34	68	44.75	40	75	25	51	47.75	10	10	14	50	21	47	19	1	4	9	6	1
397	controltrans	3	0	1	0	40	50	50	43	45.75	46	50	63	50	52.25	42	45	48	50	46.25	42	44	48	50	46	58	50	61	62	57.75	47.5625	36	1	6	5	6	3
398	honesthyp	2	0	0	1	47	47	48	43	46.25	48	47	47	48	47.5	48	68	47	48	52.75	48	38	47	48	45.25	100	100	100	100	100	47.9375	35	2	4	3	6	2
399	tradhyp	1	1	0	0	38	40	39	40	39.25	43	42	50	40	43.75	43	41	27	39	37.5	32	44	42	42	40	43	38	59	60	50	40.125	23	2	4	5	2	1
400	honesthyp	2	0	0	1	65	40	58	57	55	57	67	66	58	62	66	41	62	55	56	64	59	62	58	60.75	34	29	24	36	30.75	58.4375	28	2	5	2	6	1
401	honesthyp	2	0	0	1	50	40	34	50	43.5	68	69	24	63	56	59	70	78	67	68.5	79	73	74	93	79.75	100	100	100	100	100	61.9375	26	1	4	4	7	1
402	tradhyp	1	1	0	0	35	7	0	0	10.5	42	42	25	21	32.5	40	29	20	8	24.25	35	24	28	4	22.75	0	0	99	100	49.75	22.5	23	2	4	3	3	3
403	tradhyp	1	1	0	0	39	45	48	20	38	47	45	48	18	39.5	24	47	40	42	38.25	39	45	47	29	40	93	89	79	94	88.75	38.9375	37	2	5	1	5	3
404	tradhyp	1	1	0	0	33	31	9	37	27.5	39	34	9	50	33	25	35	27	25	28	12	38	19	6	18.75	100	93	100	100	98.25	26.8125	24	2	4	1	5	1
405	honesthyp	2	0	0	1	28	50	41	50	42.25	37	44	43	47	42.75	6	38	12	50	26.5	5	40	39	44	32	99	71	67	58	73.75	35.875	43	2	5	10	5	3
406	honesthyp	2	0	0	1	53	0	31	28	28	77	32	59	66	58.5	61	26	40	57	46	74	36	31	62	50.75	90	98	89	97	93.5	45.8125	21	2	5	7	5	1
407	honesthyp	2	0	0	1	50	55	100	87	73	51	52	71	85	64.75	50	52	100	67	67.25	100	100	100	100	100	100	100	100	76	94	76.25	19	1	2	4	7	1
408	controltrans	3	0	1	0	46	52	40	41	44.75	42	47	40	41	42.5	47	46	36	47	44	42	44	45	52	45.75	55	43	58	52	52	44.25	62	1	5	5	4	3
409	controltrans	3	0	1	0	84	93	50	74	75.25	50	97	50	77	68.5	30	51	36	50	41.75	32	50	61	50	48.25	0	0	8	8	4	58.4375	40	1	4	6	5	1
410	tradhyp	1	1	0	0	65	81	29	43	54.5	56	73	44	43	54	65	70	20	21	44	40	70	22	33	41.25	65	66	91	82	76	48.4375	28	1	5	7	6	1
411	honesthyp	2	0	0	1	50	35	48	49	45.5	42	37	50	50	44.75	38	43	50	50	45.25	42	37	54	49	45.5	74	68	55	52	62.25	45.25	45	2	5	7	6	1
412	honesthyp	2	0	0	1	34	34	34	37	34.75	51	49	50	50	50	42	38	45	50	43.75	34	45	41	41	40.25	100	100	100	100	100	42.1875	34	1	4	1	2	1
413	honesthyp	2	0	0	1	33	50	50	50	45.75	50	50	50	50	50	36	50	50	35	42.75	23	35	57	13	32	85	29	57	82	63.25	42.625	61	2	5	5	4	2
414	controltrans	3	0	1	0	51	50	50	50	50.25	50	50	50	50	50	50	50	50	50	50	51	50	50	51	50.5	17	22	19	16	18.5	50.1875	28	1	2	6	4	2
415	honesthyp	2	0	0	1	3	50	43	59	38.75	27	54	50	50	45.25	18	59	37	62	44	23	67	59	64	53.25	75	37	42	31	46.25	45.3125	37	2	4	9	7	1
416	honesthyp	2	0	0	1	77	68	2	7	38.5	80	79	18	45	55.5	70	78	10	45	50.75	71	66	8	43	47	35	52	97	82	66.5	47.9375	25	2	4	4	7	2
417	honesthyp	2	0	0	1	79	77	63	67	71.5	75	73	50	74	68	35	50	23	60	42	67	83	30	74	63.5	74	10	100	75	64.75	61.25	50	2	6	7	5	3
418	tradhyp	1	1	0	0	51	50	50	38	47.25	51	50	50	39	47.5	41	46	39	38	41	44	44	40	38	41.5	70	65	68	33	59	44.3125	31	1	4	4	6	2
419	tradhyp	1	1	0	0	19	91	0	99	52.25	50	67	48	50	53.75	17	81	3	28	32.25	1	86	14	8	27.25	89	77	98	89	88.25	41.375	36	2	4	2	5	2
420	honesthyp	2	0	0	1	61	44	53	41	49.75	59	55	54	57	56.25	58	45	54	58	53.75	40	54	68	65	56.75	85	83	57	82	76.75	54.125	30	2	4	7	6	1
421	controltrans	3	0	1	0	48	51	48	42	47.25	46	51	38	16	37.75	24	49	48	21	35.5	5	32	47	26	27.5	48	49	38	100	58.75	37	60	2	6	10	7	3
422	honesthyp	2	0	0	1	26	18	10	22	19	25	27	25	27	26	9	11	9	10	9.75	18	10	9	12	12.25	89	89	88	91	89.25	16.75	66	2	4	4	6	2
423	tradhyp	1	1	0	0	0	0	54	93	36.75	11	0	57	68	34	0	0	75	59	33.5	0	0	52	87	34.75	100	100	0	6	51.5	34.75	37	2	4	7	4	1
424	controltrans	3	0	1	0	77	58	59	69	65.75	76	60	45	55	59	57	43	41	70	52.75	55	62	49	37	50.75	43	58	64	59	56	57.0625	29	1	6	9	5	1
425	controltrans	3	0	1	0	50	50	50	50	50	75	75	72	76	74.5	50	50	50	50	50	50	50	50	50	50	11	7	12	50	20	56.125	33	2	3	8	6	1
426	controltrans	3	0	1	0	83	88	91	86	87	97	91	90	86	91	91	73	89	81	83.5	79	86	85	81	82.75	18	83	89	88	69.5	86.0625	30	1	3	5	7	1
427	controltrans	3	0	1	0	53	51	46	47	49.25	48	51	45	52	49	49	44	46	55	48.5	52	47	33	58	47.5	62	53	62	52	57.25	48.5625	22	2	4	3	5	1
428	tradhyp	1	1	0	0	4	18	48	41	27.75	50	49	41	53	48.25	13	16	46	45	30	25	21	45	45	34	92	93	57	56	74.5	35	22	1	2	2	4	2
429	honesthyp	2	0	0	1	64	68	20	50	50.5	50	69	21	52	48	50	50	25	50	43.75	50	66	24	34	43.5	100	69	77	100	86.5	46.4375	31	1	4	7	4	1
430	controltrans	3	0	1	0	0	9	11	32	13	0	0	17	40	14.25	0	7	19	17	10.75	0	14	0	12	6.5	100	83	100	100	95.75	11.125	22	1	4	1	3	3
431	controltrans	3	0	1	0	90	98	71	39	74.5	90	80	81	81	83	85	81	74	77	79.25	63	82	98	90	83.25	4	10	9	2	6.25	80	23	1	4	2	3	1
432	honesthyp	2	0	0	1	0	0	0	0	0	23	21	18	22	21	0	0	0	0	0	21	20	19	20	20	100	100	100	100	100	10.25	35	2	5	6	6	1
433	controltrans	3	0	1	0	39	53	54	53	49.75	38	47	47	52	46	31	36	46	54	41.75	36	47	53	47	45.75	9	52	47	48	39	45.8125	42	1	5	10	5	1
434	honesthyp	2	0	0	1	43	42	58	16	39.75	41	43	72	44	50	33	71	72	76	63	23	100	100	100	80.75	59	70	55	73	64.25	58.375	33	2	4	8	5	1
435	tradhyp	1	1	0	0	50	42	56	43	47.75	33	43	42	42	40	41	53	45	59	49.5	27	37	43	36	35.75	78	64	43	64	62.25	43.25	20	1	2	2	5	3
436	honesthyp	2	0	0	1	5	28	70	88	47.75	60	12	73	84	57.25	28	7	78	82	48.75	36	7	74	84	50.25	100	5	100	88	73.25	51	59	2	5	8	7	1
437	tradhyp	1	1	0	0	5	7	8	4	6	2	24	0	16	10.5	0	13	16	1	7.5	7	9	13	0	7.25	99	95	98	100	98	7.8125	34	2	2	7	6	1
438	tradhyp	1	1	0	0	31	30	36	33	32.5	27	30	34	35	31.5	26	30	30	29	28.75	34	22	30	42	32	69	73	88	74	76	31.1875	52	2	5	10	3	1
439	honesthyp	2	0	0	1	36	63	52	24	43.75	25	70	61	51	51.75	39	74	42	5	40	73	71	68	7	54.75	25	15	27	91	39.5	47.5625	29	2	2	7	5	2
440	tradhyp	1	1	0	0	50	56	37	55	49.5	63	61	46	54	56	32	57	56	57	50.5	27	35	37	43	35.5	72	59	63	63	64.25	47.875	24	2	5	3	5	2
441	controltrans	3	0	1	0	49	50	33	0	33	38	50	13	0	25.25	43	42	31	19	33.75	20	33	27	30	27.5	0	0	50	0	12.5	29.875	28	2	5	5	5	1
442	tradhyp	1	1	0	0	15	50	39	38	35.5	26	41	50	50	41.75	14	35	24	50	30.75	4	11	30	45	22.5	100	100	100	88	97	32.625	30	1	5	4	4	1
443	tradhyp	1	1	0	0	10	18	4	20	13	27	0	7	6	10	10	16	9	4	9.75	5	10	2	9	6.5	92	83	97	93	91.25	9.8125	23	2	4	6	6	2
444	tradhyp	1	1	0	0	29	28	32	20	27.25	33	36	40	28	34.25	15	35	31	17	24.5	14	31	31	15	22.75	90	81	29	85	71.25	27.1875	51	2	6	9	6	1
445	tradhyp	1	1	0	0	31	36	43	46	39	47	45	43	48	45.75	47	33	30	34	36	40	31	31	27	32.25	100	94	98	97	97.25	38.25	53	2	5	4	6	3
446	honesthyp	2	0	0	1	0	0	41	0	10.25	0	0	50	0	12.5	0	0	33	0	8.25	0	0	19	0	4.75	100	100	58	100	89.5	8.9375	51	2	4	1	6	2
447	honesthyp	2	0	0	1	17	26	22	29	23.5	8	20	20	18	16.5	1	2	18	16	9.25	0	12	14	24	12.5	90	98	86	92	91.5	15.4375	63	2	6	9	5	1
448	honesthyp	2	0	0	1	18	25	31	39	28.25	0	46	42	51	34.75	20	64	67	76	56.75	38	28	94	76	59	100	100	92	88	95	44.6875	29	2	5	5	5	1
449	controltrans	3	0	1	0	68	60	31	35	48.5	50	55	45	46	49	45	53	38	45	45.25	36	29	42	54	40.25	25	66	49	61	50.25	45.75	31	1	4	4	3	2
450	controltrans	3	0	1	0	22	50	48	43	40.75	40	37	50	43	42.5	41	50	46	44	45.25	38	48	59	47	48	41	45	40	44	42.5	44.125	31	1	5	9	5	3
451	controltrans	3	0	1	0	48	48	50	50	49	50	50	47	50	49.25	43	50	50	51	48.5	39	41	50	50	45	50	50	50	50	50	47.9375	44	2	4	7	6	4
452	tradhyp	1	1	0	0	48	50	24	48	42.5	48	50	38	48	46	37	42	23	45	36.75	29	32	23	37	30.25	83	90	75	82	82.5	38.875	28	2	6	5	5	1
